"run_id","timestamp_jst","attempt","symbols","ok_count","fail_count","fail_reason","planned_sleep_sec"
"20260120_165853_342127","2026-01-21 01:58:54","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260120_170121_364495","2026-01-21 02:01:22","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260120_170241_452124","2026-01-21 02:02:42","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260120_170351_936721","2026-01-21 02:03:52","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260120_170456_904048","2026-01-21 02:04:57","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260120_170818_762436","2026-01-21 02:08:19","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260120_175731_228750","2026-01-21 02:57:32","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260120_203655_682781","2026-01-21 05:36:56","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260120_214052_333683","2026-01-21 06:40:53","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260120_224223_612907","2026-01-21 07:42:23","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260120_234247_610476","2026-01-21 08:42:48","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260121_040524_186425","2026-01-21 13:05:25","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260121_043853_667847","2026-01-21 13:38:54","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"21200400575.1.market.20260121_070422.7154","2026-01-21 16:04:23","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","0.0","0.0","",""
"21200910979.1.market.20260121_072559.5777","2026-01-21 16:26:01","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","0.0","0.0","",""
"21200968599.1.market.20260121_072829.2350","2026-01-21 16:28:31","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","0.0","0.0","",""
"21201000911.1.market.20260121_072957.4898","2026-01-21 16:29:58","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","0.0","0.0","",""
"21201034594.1.market.20260121_073127.8537","2026-01-21 16:31:30","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","0.0","0.0","",""
"21201066752.1.market.20260121_073247.7225","2026-01-21 16:32:48","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","0.0","0.0","",""
"21201180790.1.market.20260121_073740.2738","2026-01-21 16:37:41","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","0.0","0.0","",""
"21201626089.1.market.20260121_075620.1599","2026-01-21 16:56:21","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","0.0","0.0","",""
"21202618244.1.market.20260121_083401.3597","2026-01-21 17:34:02","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","0.0","0.0","",""
"gh21203329885-a1-20260121T085947Z-d5480c1a","2026-01-21 17:59:49","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"gh21203416035-a1-20260121T090237Z-d5fa2a74","2026-01-21 18:02:38","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"gh21205193476-a1-20260121T100034Z-c6740e36","2026-01-21 19:00:35","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"gh21207130761-a1-20260121T110304Z-c2378b4a","2026-01-21 20:03:05","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"gh21208547124-a1-20260121T115248Z-cf1050a5","2026-01-21 20:52:49","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"gh21212316840-a1-20260121T135908Z-670e5f62","2026-01-21 22:59:09","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"gh21214435554-a1-20260121T150229Z-94f5cbaf","2026-01-22 00:02:29","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","0","6","","15.0"
"gh21214435554-a1-20260121T150229Z-94f5cbaf","2026-01-22 00:02:46","2","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","0","6","","30.0"
"gh21214435554-a1-20260121T150229Z-94f5cbaf","2026-01-22 00:03:19","3","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","0","6","","60.0"
"gh21214435554-a1-20260121T150229Z-94f5cbaf","2026-01-22 00:04:20","4","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","0","6","","120.0"
"gh21220477062-a1-20260121T180809Z-b5513ce6","2026-01-22 03:08:11","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"gh21223411780-a1-20260121T194555Z-62b49295","2026-01-22 04:45:56","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"gh21225536383-a1-20260121T210114Z-a6773243","2026-01-22 06:01:15","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"gh21227194109-a1-20260121T215933Z-e7444b69","2026-01-22 06:59:33","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"gh21228689085-a1-20260121T225631Z-83fbf3b2","2026-01-22 07:56:32","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"gh21230080509-a1-20260121T234949Z-ce278aee","2026-01-22 08:49:51","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260122T020318Z_gha21233239062_a1","2026-01-22 11:03:19","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260122T041608Z_gha21235820948_a1","2026-01-22 13:16:09","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260122T054904Z_gha21237645989_a1","2026-01-22 14:49:05","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
